"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGIKEY_PN";"MF";"MFR";"MFR_PN";"MP";"PACKAGE";"PN_DIGIKEY";"POWER";"PRICE";"PURCHASE-URL";"TOLERANCE";"URL_DIGIKEY";"VALUE";"VOLTAGE";
"2";"0.1uF";"RUNJUMP_CAPACITOR-0.1UF-DECOUPLING-0603";"RUNJUMP_C0603";"C1, C2";"Capacitor 0805";"";"";"";"";"";"Samsung Electro-Mechanics";"CL10A104KA8NNNC";"";"";"1276-1857-1-ND";"";"";"";"";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10A104KA8NNNC/1276-1857-1-ND/3889943";"0.1uF";"25V";
"1";"1.5k";"RMCF2512JT1K50";"RESC6332X70N";"R6";"Check availability";"";"1.5k ohms";"";"RMCF2512JT1K50";"Stackpole Electronics Inc";"";"";"";"";"";"";"";"";"";"";"1.5k";"";
"8";"100";"AC0603FR-10100RL";"RESC1608X55N";"R3, R12, R13, R14, R15, R16, R17, R18";"RES SMD 1.6M OHM 5% 1/10W 0603                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Check availability";"In Stock";" 100 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film ";"";"AC0603FR-10100RL";"Yageo";"";"";"AC0603FR-10100RL";"None";"";"";"None";"https://pricing.snapeda.com/search/part/AC0603FR-10100RL/?ref=eda";"";"";"100";"";
"2";"10K";"RUNJUMP_RESISTOR-10K";"RUNJUMP_R0603";"R1, R2";"";"";"";"";"";"";"Samsung Electro-Mechanics";"RC1608J103CS";"";"";"1276-5086-1-ND";"";"";"";"5%";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/RC1608J103CS/1276-5086-1-ND/3968058";"10K";"";
"1";"13.3k";"RMCF2512FT13K3";"RESC6332X70N";"R9";"Check availability";"";"13.3kOhms";"";"RMCF2512FT13K3";"Stackpole Electronics Inc";"";"";"";"";"";"";"";"";"";"";"13.3k";"";
"1";"1725669";"1725669";"PHOENIX_1725669";"J3";"3 Position Wire to Board Terminal Block Horizontal with Board 0.100" (2.54mm) Through Hole Check availability";"In Stock";" 3 Position Wire to Board Terminal Block Horizontal with Board 0.100 (2.54mm) Through Hole ";"";"1725669";"Phoenix Contact";"";"";"1725669";"None";"";"";"None";"https://pricing.snapeda.com/search/part/1725669/?ref=eda";"";"";"";"";
"1";"27k";"RMCF2512JT27K0";"RESC6332X70N";"R10";"Check availability";"";"27kOhms";"";"RMCF2512JT27K0";"Stackpole Electronics Inc";"";"";"";"";"";"";"";"";"";"";"27k";"";
"1";"3.16k";"RMCF2512FT3K16";"RESC6332X70N";"R7";"Check availability";"";"3.16kOhms";"";"RMCF2512FT3K16";"Stackpole Electronics Inc";"";"";"";"";"";"";"";"";"";"";"3.16k";"";
"1";"390";"RMCF2512JT390R";"RESC6332X70N";"R4";"Check availability";"In Stock";" 390 Ohms ±5% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200 Thick Film ";"";"RMCF2512JT390RCT-ND";"Stackpole Electronics Inc";"";"";"RMCF2512JT390R";"6332 Stackpole";"";"";"None";"https://pricing.snapeda.com/search/part/RMCF2512JT390R/?ref=eda";"";"";"390";"";
"1";"51k";"RMCF2512JT51K0";"RESC6332X70N";"R11";"Check availability";"";"51kohms";"";"RMCF2512JT51K0";"Stackpole Electronics Inc";"";"";"";"";"";"";"";"";"";"";"51k";"";
"1";"6.8k";"RMCF2512JT6K80";"RESC6332X70N";"R8";"Check availability";"";"6.8kOhms";"";"RMCF2512JT6K80";"Stackpole Electronics Inc";"";"";"";"";"";"";"";"";"";"";"6.8k";"";
"1";"806";"RMCF2512FT806R";"RESC6332X70N";"R5";"";"";"";"";"RMCF2512FT806RCT-ND ";"";"";"";"";"";"";"";"";"";"";"";"806";"";
"1";"ABX00053";"ABX00053";"MODULE_ABX00053";"U1";"ARDUINO NANO RP2040 CONNECT WITH";"";" NINA-W102, RP2040 Arduino Nano RP2040 Connect with Headers series ARM® Cortex®-M0+ MCU 32-Bit Embedded Evaluation Board ";"1050-ABX00053-ND";"";"Arduino";"";"";"ABX00053";"None";"";"";"";"https://pricing.snapeda.com/search/part/ABX00053/?ref=eda";"";"";"";"";
"1";"EG1218S";"EG1218S";"EG1218";"S1";"SLIDING SWITCH";"In Stock";" SLIDE SWITCH, SPDT, 200MA";" Contact Configuration:SPDT";" Switch Operation:-";" Switch Mounting:Through Hole";" Product Range:-";" Contact Current Max:-";" Contact Voltage AC Max:-";" Contact Voltage DC Max:-";" Orientation:Vertical ";"";"EG1218.";"E-Switch";"";"";"EG1218.";"None";
"1";"MCP3421A1T-E/CH";"MCP3421A1T-E/CH";"SOT95P280X145-6N";"U$1";"Check availability";"In Stock";" 18 Bit Analog to Digital Converter 1 Input 1 Sigma-Delta SOT-23-6 ";"";"MCP3421A1T-E/CH";"Microchip Technology";"";"";"MCP3421A1T-E/CH";"SOT-23-6 Microchip";"";"";"None";"https://pricing.snapeda.com/search/part/MCP3421A1T-E/CH/?ref=eda";"";"";"";"";
"1";"MCP9808-E/MS";"MCP9808-E/MS";"SOP65P490X110-8N";"U11";"Board Mount Temperature Sensors Silicon temp sensor with I2C interface Check availability";"In Stock";" Temperature Sensor Digital, Local -40°C ~ 125°C 12 b 8-MSOP ";"";"MCP9808-E/MS";"Microchip";"";"";"MCP9808-E/MS";"MSOP-8 Microchip";"";"";"None";"https://pricing.snapeda.com/search/part/MCP9808-E/MS/?ref=eda";"";"";"";"";
"1";"SSQ-104-01-T-S";"SSQ-104-01-T-S";"SAMTEC_SSQ-104-01-T-S";"J1";"Check availability";"In Stock";" SSQ - Samtec 2.54mm Square Tail Single Row Socket Strip 8.5mm Profile - Fast Stock ";"";"SSQ-104-01-T-S";"Samtec Inc.";"";"";"SSQ-104-01-T-S";"None";"";"";"None";"https://pricing.snapeda.com/search/part/SSQ-104-01-T-S/?ref=eda";"";"";"";"";
"1";"THERMOPADS";"THERMOPADS";"THERMOPADS";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"VOT8121AM-VT";"VOT8121AM-VT";"SOIC254P675X240-4N";"U2, U4, U5, U6, U7, U8, U9, U10";"VOT8121AM-VT Check availability";"In Stock";" Optoisolator Triac Output 3750Vrms 1 Channel 4-SOP ";"";"VOT8121AM-VT";"Vishay Semiconductor Opto Division";"";"";"VOT8121AM-VT";"SMD-4 Vishay Semiconductor Opto Division";"";"";"None";"https://pricing.snapeda.com/search/part/VOT8121AM-VT/?ref=eda";"";"";"";"";
